index,timestamp,direction,outcome,setup_score,passed_checks,chk_structure_aligned,chk_secondary_confirmation,chk_htf_aligned,chk_vwap_aligned,chk_ema_aligned,chk_rsi_not_extreme,chk_adx_trending,chk_volume_above_average,regime,htf_score,structure_type,cisd,fvg,order_block,sweep_kind,level_source,sweep_reaction,sweep_reaction_atr_ratio,bars_to_reclaim,rsi14,macd,adx,atr14,above_vwap,above_ema20,ema20_gt_ema50,volume,volume_ratio,probability,confidence,rr,risk_amount,reward_amount,time_bucket,day_of_week
1661,2024-02-01T04:35:00+00:00,BULLISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.121,CHOCH,False,False,True,LOWER_SWEEP,EQUAL_HIGH,39.0,1.0247759288017217,1,61.5,17.7082,24.39,38.0571,,True,True,0.0,,0.5259,58.2,2.0,61.2057,122.4114,MID,Thursday
1701,2024-02-01T07:55:00+00:00,BEARISH,TIMEOUT,62.5,5,True,True,False,False,True,True,True,False,RANGE,0.045,CHOCH,False,False,True,UPPER_SWEEP,EQUAL_HIGH,31.3,1.1314220855036996,3,45.65,-7.3891,33.1,27.6643,,False,False,0.0,,0.5259,55.7,2.0,38.2664,76.5329,MID,Thursday
1716,2024-02-01T09:10:00+00:00,BEARISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,RANGE,0.035,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_LOW,28.1071,1.4371813816976955,3,50.76,-5.7186,6.31,19.5571,,False,False,0.0,,0.4541,51.2,2.0,31.3057,62.6114,CLOSING,Thursday
1728,2024-02-02T03:55:00+00:00,BULLISH,TIMEOUT,75.0,6,True,True,True,False,True,True,True,False,BULLISH,0.235,CHOCH,True,True,False,LOWER_SWEEP,PDH,152.85,4.157973052743827,3,79.27,37.9103,59.53,36.7607,,True,True,0.0,,0.5965,66.2,2.0,264.4261,528.8521,OPENING,Friday
1747,2024-02-02T05:30:00+00:00,BULLISH,WIN,62.5,5,True,True,True,False,True,True,False,False,BULLISH,0.216,CHOCH,False,True,False,LOWER_SWEEP,EQUAL_HIGH,22.75,1.5294117647058822,3,53.86,35.8009,0.76,14.875,,True,True,0.0,,0.5259,61.4,2.0,28.5875,57.175,MID,Friday
1764,2024-02-02T06:55:00+00:00,BEARISH,WIN,62.5,5,True,True,False,False,True,True,True,False,BULLISH,0.179,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_HIGH,125.65,4.03648092108222,3,34.41,28.6929,26.92,31.1286,,False,True,0.0,,0.5259,60.1,2.0,133.8629,267.7257,MID,Friday
1794,2024-02-02T09:25:00+00:00,BEARISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,0.101,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_LOW,44.125,1.71907323933785,3,50.46,-11.9978,14.49,25.6679,,False,False,0.0,,0.4541,53.4,2.0,57.9168,115.8336,CLOSING,Friday
1808,2024-02-05T04:20:00+00:00,BULLISH,LOSS,75.0,6,True,True,True,False,True,True,True,False,BULLISH,0.174,BOS,False,True,False,LOWER_SWEEP,EQUAL_HIGH,89.55,2.5833494402021677,3,68.42,7.6569,65.8,34.6643,,True,False,0.0,,0.5965,64.1,2.0,98.1164,196.2329,OPENING,Monday
1835,2024-02-05T06:35:00+00:00,BEARISH,LOSS,50.0,4,True,True,False,False,True,True,False,False,TRANSITION,0.116,CHOCH,False,True,False,UPPER_SWEEP,EQUAL_HIGH,29.35,1.6416274204915375,2,47.99,5.4631,5.19,17.8786,,False,True,0.0,,0.4541,53.9,2.0,31.6879,63.3757,MID,Monday
1847,2024-02-05T07:35:00+00:00,BULLISH,LOSS,62.5,5,True,True,False,False,True,True,True,False,TRANSITION,0.145,BOS,False,False,True,LOWER_SWEEP,EQUAL_HIGH,18.54,1.0814972962567593,3,54.3,6.3103,24.26,17.1429,,True,True,0.0,,0.5259,59.0,2.0,24.9643,49.9286,MID,Monday
